 UR5 start pose(degree)             UR5 end pose(degree)               End-effector start pose(x(m), y(m), z(m), alpha(deg), beta(deg), gamma(deg))          End-effector end pose
[-20, 20, 70, 0, -90, 0]         [10, -20, -75, 0, 90, 0]                                [0.113, 0.632, 0.378, 0, 0, 70]                               [0, -0.631, 0.336, 4.98, 0.86, -80]
[-10, 35, 50, 30, -90, 0]        [5, -50, -45, 0, 90, 0]                                 [0, 0.683, 0.331, 24.7, 4.22, 80.9]                           [-0.043, -0.775, 0.346, -4.87, -0.44, -85.02]
[-25, 20, 70, 0, -90, 0]         [0, -30, -60, 0, 90, 0]                                 [0.167, 0.62, 0.378, 0, 0, 65]                                [-0.11, 0.7, 0.346, 0, 0, -90]
[-15, 10, 80, 0, -90, 0]         [0, -20, -70, 0, 90, 0]                                 [0.039, 0.571, 0.397, 0, 0, 75]                               [-0.11, 0.633, 0.378, 0, 0, -90] 
[-30, 10, 75, 25, -90, 0]        [15, -20, -70, 0, 90, 0]                                [0.163, 0.502, 0.406, -17.5, 9.86, 61.5]                      [0.058, -0.64, 0.378, 0, 0, -75]
[10, -20, -75, 0, 90, 0]         [-20, 20, 70, 0, -90, 0]                                [0, -0.631, 0.336, 4.98, 0.86, -80]                           [0.113, 0.632, 0.378, 0, 0, 70]
[5, -50, -45, 0, 90, 0]          [-10, 35, 50, 30, -90, 0]                               [-0.043, -0.775, 0.346, -4.87, -0.44, -85.02]                 [0, 0.683, 0.331, 24.7, 4.22, 80.9] 
[0, -30, -60, 0, 90, 0]          [-25, 20, 70, 0, -90, 0]                                [-0.11, 0.7, 0.346, 0, 0, -90]                                [0.167, 0.62, 0.378, 0, 0, 65]
[0, -20, -70, 0, 90, 0]          [-15, 10, 80, 0, -90, 0]                                [-0.11, 0.633, 0.378, 0, 0, -90]                              [0.039, 0.571, 0.397, 0, 0, 75] 
[15, -20, -70, 0, 90, 0]         [-30, 10, 75, 25, -90, 0]                               [0.058, -0.64, 0.378, 0, 0, -75]                              [0.163, 0.502, 0.406, -17.5, 9.86, 61.5] 
